CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LEYEV,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,REYEV,RPUPILD,RPUPILV,CX,CY,CS,SKLHEADX,SKLHEADY,SKLHEADZ,SKLV,VIEWER_TIME_TICK
71741,138.43242,23321134346,0,0,136.819,0.223,653,0,0.793,0.346,0,0.967,0.629,0,0.967,0.629,0,1.#IO,1.#IO,35,1.087,0,1.#IO,1.#IO,34,0.983,0,-4.401,0.38,63.374,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321251546
71742,138.4747,23321233178,0.237,0.138,136.819,0.223,653,0,0.474,0.276,1,0.967,0.629,0,0.474,0.276,1,1.#IO,1.#IO,35,1.135,1,1.#IO,1.#IO,34,1.027,0,-3.425,0.497,63.889,1,8.385,1,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321276788
71743,138.48132,23321248649,0.488,0.318,136.819,0.223,653,0,0.501,0.361,1,0.967,0.629,0,0.501,0.361,1,1.#IO,1.#IO,35,1.135,1,1.#IO,1.#IO,34,1.027,0,-3.425,0.497,63.889,0,8.385,2,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321343645
71744,138.48876,23321266036,0.482,0.36,136.819,0.223,653,0,0.476,0.402,1,0.967,0.629,0,0.476,0.402,1,1.#IO,1.#IO,34,1.135,1,1.#IO,1.#IO,34,1.027,0,-3.425,0.497,63.889,0,8.146,2,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321370674
71745,138.52378,23321347877,0.505,0.4,136.819,0.223,653,0,0.552,0.481,1,0.967,0.629,0,0.552,0.481,1,1.#IO,1.#IO,35,1.135,1,1.#IO,1.#IO,34,1.027,0,-3.425,0.497,63.889,0,8.385,2,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321385642
71746,138.52992,23321362247,0.502,0.397,138.481,0.049,654,1,0.492,0.388,1,0.967,0.629,0,0.492,0.388,1,1.#IO,1.#IO,34,1.135,1,1.#IO,1.#IO,34,1.027,0,-3.425,0.497,63.889,0,8.146,2,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321625757
71747,138.59995,23321525916,0.504,0.404,138.481,0.119,654,1,0.515,0.432,1,0.967,0.629,0,0.515,0.432,1,1.#IO,1.#IO,35,1.139,1,1.#IO,1.#IO,34,1.03,0,-3.573,0.486,64.835,1,8.51,1,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321790515
71748,138.63529,23321608522,0.501,0.402,138.481,0.154,654,1,0.488,0.391,1,0.967,0.629,0,0.488,0.391,1,1.#IO,1.#IO,35,1.139,1,1.#IO,1.#IO,34,1.03,0,-3.526,0.496,63.015,1,8.271,1,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321996923
71749,138.70949,23321781952,0.501,0.397,138.481,0.228,654,1,0.493,0.368,1,0.967,0.629,0,0.493,0.368,1,1.#IO,1.#IO,35,1.139,1,1.#IO,1.#IO,34,1.03,0,-3.526,0.496,63.015,0,8.271,2,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23321997529
71750,138.7916,23321973878,0.497,0.392,138.481,0.31,654,1,0.467,0.354,1,0.967,0.629,0,0.467,0.354,1,1.#IO,1.#IO,35,1.139,1,1.#IO,1.#IO,34,1.03,0,-3.526,0.496,63.015,0,8.271,2,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23322014559
71751,138.79767,23321988062,0.492,0.386,138.481,0.316,654,1,0.456,0.334,1,0.967,0.629,0,0.456,0.334,1,1.#IO,1.#IO,35,1.139,1,1.#IO,1.#IO,34,1.03,0,-3.561,0.511,63.337,1,8.313,1,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23322025064
71752,138.80542,23322006195,0.492,0.386,138.481,0.324,654,1,0.456,0.334,0,0.967,0.629,0,0.456,0.334,0,1.#IO,1.#IO,35,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.561,0.511,63.337,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23322315127
71753,138.90285,23322233914,0.492,0.386,138.481,0.422,654,1,0.456,0.334,0,0.967,0.629,0,0.456,0.334,0,1.#IO,1.#IO,35,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.561,0.511,63.337,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,1,0,0,0,0,23322455340
71754,138.99208,23322442475,0.489,0.377,138.481,0.511,654,1,0.465,0.297,1,0.967,0.629,0,0.465,0.297,1,1.#IO,1.#IO,36,1.139,1,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,1,8.746,1,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23322981339
71755,138.99806,23322456447,0.489,0.377,138.481,0.517,654,1,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,2,0,0,0,0,23323121581
71756,139.25498,23323056984,0.489,0.377,138.481,0.774,654,1,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323414102
71757,139.30389,23323171291,0.489,0.377,138.481,0.823,654,1,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323483841
71758,139.43287,23323472769,0.49,0.383,138.481,0.823,654,0,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323507531
71759,139.43801,23323484777,0.49,0.383,138.481,0.823,654,0,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323507924
71760,139.44235,23323494922,0.49,0.383,138.481,0.823,654,0,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323542308
71761,139.45686,23323528851,0,0,138.481,0.823,654,0,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323717581
71762,139.47335,23323567391,0,0,138.481,0.823,654,0,0.465,0.297,0,0.967,0.629,0,0.465,0.297,0,1.#IO,1.#IO,36,1.139,0,1.#IO,1.#IO,34,1.03,0,-3.691,0.51,64.783,0,0,0,6.116,1.146,109.109,0,0,0,0.484,0.009,0,0,0,0,0,23323916289
71763,139.58774,23323834749,0.499,0.231,138.481,0.823,654,0,1.047,0.437,1,0.951,0.49,1,0.999,0.463,1,1.#IO,1.#IO,33,1.138,1,1.#IO,1.#IO,33,1.021,1,-3.525,0.473,65.525,1,8.109,1,6.58,1.1,115.063,1,14.239,1,0.484,0.009,0,0,0,0,0,23323975113
71764,139.63897,23323954504,0.999,0.463,138.481,0.823,654,0,1.047,0.437,0,0.951,0.49,0,0.999,0.463,0,1.#IO,1.#IO,33,1.138,0,1.#IO,1.#IO,33,1.021,0,-3.525,0.473,65.525,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23323976020
71765,139.64386,23323965936,0.999,0.463,138.481,0.823,654,0,1.047,0.437,0,0.951,0.49,0,0.999,0.463,0,1.#IO,1.#IO,33,1.138,0,1.#IO,1.#IO,33,1.021,0,-3.525,0.473,65.525,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23323998108
71766,139.65399,23323989610,0.999,0.463,138.481,0.823,654,0,1.047,0.437,0,0.951,0.49,0,0.999,0.463,0,1.#IO,1.#IO,33,1.138,0,1.#IO,1.#IO,33,1.021,0,-3.525,0.473,65.525,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324044825
71767,139.67047,23324028129,0.999,0.34,138.481,0.823,654,0,0.999,0.34,1,0.951,0.49,0,0.999,0.34,1,1.#IO,1.#IO,34,1.135,1,1.#IO,1.#IO,33,1.027,0,-3.306,0.464,61.038,1,7.782,1,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324079949
71768,139.68682,23324066358,0.999,0.34,138.481,0.823,654,0,0.999,0.34,0,0.951,0.49,0,0.999,0.34,0,1.#IO,1.#IO,34,1.135,0,1.#IO,1.#IO,33,1.027,0,-3.306,0.464,61.038,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324126795
71769,139.70579,23324110681,0.999,0.34,138.481,0.823,654,0,0.999,0.34,0,0.951,0.49,0,0.999,0.34,0,1.#IO,1.#IO,34,1.135,0,1.#IO,1.#IO,33,1.027,0,-3.306,0.464,61.038,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324185597
71770,139.73521,23324179459,0,0,138.481,0.823,654,0,0.999,0.34,0,0.951,0.49,0,0.999,0.34,0,1.#IO,1.#IO,34,1.135,0,1.#IO,1.#IO,33,1.027,0,-3.306,0.464,61.038,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324208447
71771,139.73876,23324187744,0,0,138.481,0.823,654,0,0.999,0.34,0,0.951,0.49,0,0.999,0.34,0,1.#IO,1.#IO,34,1.135,0,1.#IO,1.#IO,33,1.027,0,-3.306,0.464,61.038,0,0,0,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324231902
71772,139.75258,23324220058,0.496,0.166,138.481,0.823,654,0,0.992,0.331,1,0.951,0.49,0,0.992,0.331,1,1.#IO,1.#IO,33,1.131,1,1.#IO,1.#IO,33,1.023,0,-3.306,0.475,61.039,1,7.554,1,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324313729
71773,139.78466,23324295042,0.997,0.353,138.481,0.823,654,0,1.003,0.376,1,0.951,0.49,0,1.003,0.376,1,1.#IO,1.#IO,33,1.131,1,1.#IO,1.#IO,33,1.023,0,-3.428,0.474,63.171,1,7.817,1,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324314138
71774,139.78903,23324305255,1.017,0.381,138.481,0.823,654,0,1.037,0.409,1,0.951,0.49,0,1.037,0.409,1,1.#IO,1.#IO,33,1.135,1,1.#IO,1.#IO,33,1.027,0,-3.519,0.487,64.965,1,8.039,1,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324372156
71775,139.80811,23324349844,1.01,0.362,138.481,0.823,654,0,0.994,0.323,1,0.951,0.49,0,0.994,0.323,1,1.#IO,1.#IO,32,1.135,1,1.#IO,1.#IO,33,1.027,0,-3.428,0.474,63.171,1,7.581,1,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324500675
71776,139.83992,23324424190,1.007,0.349,139.785,0.055,655,1,0.999,0.308,1,0.951,0.49,0,0.999,0.308,1,1.#IO,1.#IO,33,1.138,1,1.#IO,1.#IO,33,1.03,0,-3.412,0.486,63.208,1,7.822,1,6.58,1.1,115.063,0,0,0,0.484,0.009,0,0,0,0,0,23324544794
71777,139.84536,23324436924,1.006,0.371,139.785,0.061,655,1,0.998,0.374,1,1.006,0.548,1,1.001,0.461,1,1.#IO,1.#IO,32,1.137,1,1.#IO,1.#IO,32,1.029,1,-3.37,0.479,62.33,1,7.48,1,6.58,1.1,115.063,0,13.808,2,0.483,0.009,0,0,0,0,0,23324582485
71778,139.87966,23324517087,1.001,0.362,139.785,0.095,655,1,0.976,0.321,1,1.006,0.548,0,0.976,0.321,1,1.#IO,1.#IO,32,1.134,1,1.#IO,1.#IO,32,1.026,0,-3.37,0.479,62.33,1,7.48,1,6.58,1.1,115.063,0,0,0,0.478,0.01,0,0,0,0,0,23324594172
71779,139.90552,23324577531,0.999,0.353,139.785,0.121,655,1,0.993,0.297,1,1.006,0.548,0,0.993,0.297,1,1.#IO,1.#IO,33,1.127,1,1.#IO,1.#IO,32,1.019,0,-3.394,0.515,63.201,1,7.821,1,6.58,1.1,115.063,0,0,0,0.456,0.017,0,0,0,0,0,23324664313
71780,139.93729,23324651788,0.994,0.354,139.785,0.153,655,1,0.978,0.281,1,0.94,0.449,1,0.959,0.364,1,1.#IO,1.#IO,32,1.127,1,1.#IO,1.#IO,33,1.008,1,-3.394,0.515,63.201,1,7.584,1,2.878,0.554,55.252,1,6.837,1,0.45,0.02,0,0,0,0,0,23324699329
71781,139.94968,23324680747,0.991,0.363,139.785,0.165,655,1,0.985,0.349,1,0.936,0.521,1,0.96,0.436,1,1.#IO,1.#IO,32,1.127,1,1.#IO,1.#IO,33,0.99,1,-3.394,0.515,63.201,1,7.584,1,2.878,0.554,55.252,1,6.837,1,0.443,0.02,0,0,0,0,0,23324734444
71782,139.96619,23324719346,0.99,0.359,139.785,0.182,655,1,0.982,0.312,1,0.936,0.521,0,0.982,0.312,1,1.#IO,1.#IO,32,1.132,1,1.#IO,1.#IO,33,1.024,0,-3.572,0.526,66.756,1,8.011,1,2.878,0.554,55.252,0,0,0,0.426,0.024,0,0,0,0,0,23324769464
71783,139.9826,23324757703,0.989,0.364,139.785,0.198,655,1,1,0.332,1,0.964,0.516,1,0.982,0.423,1,1.#IO,1.#IO,31,1.134,1,1.#IO,1.#IO,33,1.022,1,-3.512,0.522,65.51,1,7.616,1,6.178,1.14,106.638,1,13.196,1,0.41,0.028,0,0,0,0,0,23324828045
71784,139.99907,23324796188,0.989,0.372,139.785,0.214,655,1,0.999,0.398,1,0.978,0.506,1,0.988,0.452,1,1.#IO,1.#IO,31,1.094,1,1.#IO,1.#IO,32,1.063,1,-3.512,0.522,65.51,1,7.616,1,6.178,1.14,106.638,1,12.797,1,0.383,0.034,0,0,0,0,0,23324851482
71785,140.01546,23324834498,0.989,0.374,139.785,0.231,655,1,0.983,0.406,1,0.978,0.506,0,0.983,0.406,1,1.#IO,1.#IO,32,1.091,1,1.#IO,1.#IO,32,0.987,0,-3.394,0.504,63.201,1,7.584,1,6.178,1.14,106.638,0,0,0,0.37,0.037,0,0,0,0,0,23324909734
71786,140.04118,23324894619,0.985,0.372,139.785,0.257,655,1,0.946,0.352,1,0.978,0.506,0,0.946,0.352,1,1.#IO,1.#IO,32,1.088,1,1.#IO,1.#IO,32,0.984,0,-3.394,0.504,63.201,1,7.584,1,6.178,1.14,106.638,0,0,0,0.352,0.042,0,0,0,0,0,23325085085
71787,140.10492,23325043593,0.988,0.382,139.785,0.32,655,1,1.011,0.522,1,0.978,0.506,0,1.011,0.522,1,1.#IO,1.#IO,33,1.087,1,1.#IO,1.#IO,32,0.984,0,-3.394,0.504,63.201,1,7.821,1,6.178,1.14,106.638,0,0,0,0.348,0.044,0,0,0,0,0,23325085488
71788,140.11666,23325071038,0.989,0.39,139.785,0.332,655,1,1.009,0.503,1,0.978,0.506,0,1.009,0.503,1,1.#IO,1.#IO,33,1.084,1,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,1,7.821,1,6.178,1.14,106.638,0,0,0,0.348,0.044,0,0,0,0,0,23325096706
71789,140.12063,23325080313,0.989,0.39,139.785,0.336,655,1,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.347,0.046,0,0,0,0,0,23325155164
71790,140.13067,23325103785,0.989,0.39,139.785,0.346,655,1,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.337,0.047,0,0,0,0,0,23325190299
71791,140.16193,23325176852,0.989,0.39,139.785,0.377,655,1,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.335,0.047,0,0,0,0,0,23325201972
71792,140.16579,23325185884,0.981,0.407,139.785,0.377,655,0,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.335,0.047,0,0,0,0,0,23325236981
71793,140.17973,23325218458,0.981,0.407,139.785,0.377,655,0,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.333,0.047,0,0,0,0,0,23325272040
71794,140.19618,23325256920,0.981,0.407,139.785,0.377,655,0,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.333,0.047,0,0,0,0,0,23325307089
71795,140.21259,23325295271,0,0,139.785,0.377,655,0,1.009,0.503,0,0.978,0.506,0,1.009,0.503,0,1.#IO,1.#IO,33,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.332,0.048,0,0,0,0,0,23325353877
71796,140.22906,23325333752,0.549,0.328,139.785,0.377,655,0,1.098,0.657,1,0.978,0.506,0,1.098,0.657,1,1.#IO,1.#IO,34,1.084,1,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,8.058,2,6.178,1.14,106.638,0,0,0,0.329,0.049,0,0,0,0,0,23325388972
71797,140.2455,23325372196,0.549,0.328,139.785,0.377,655,0,1.098,0.657,0,0.978,0.506,0,1.098,0.657,0,1.#IO,1.#IO,34,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.32,0.051,0,0,0,0,0,23325494184
71798,140.28715,23325469531,1.098,0.657,139.785,0.377,655,0,1.098,0.657,0,0.978,0.506,0,1.098,0.657,0,1.#IO,1.#IO,34,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.32,0.051,0,0,0,0,0,23325505809
71799,140.29131,23325479272,1.098,0.657,139.785,0.377,655,0,1.098,0.657,0,0.978,0.506,0,1.098,0.657,0,1.#IO,1.#IO,34,1.084,0,1.#IO,1.#IO,32,0.981,0,-3.394,0.504,63.201,0,0,0,6.178,1.14,106.638,0,0,0,0.319,0.051,0,0,0,0,0,23325506220
71800,140.29856,23325496211,1.175,0.747,139.785,0.377,655,0,1.098,0.657,0,1.252,0.837,1,1.252,0.837,1,1.#IO,1.#IO,32,1.077,1,1.#IO,1.#IO,34,0.975,1,-3.215,0.473,61.479,1,7.378,1,6.178,1.14,106.638,0,13.596,2,0.319,0.051,0,0,0,0,0,23325552578
71801,140.31128,23325525934,1.252,0.837,139.785,0.377,655,0,1.098,0.657,0,1.252,0.837,0,1.252,0.837,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,34,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.319,0.051,0,0,0,0,0,23325599408
71802,140.33126,23325572642,1.252,0.837,139.785,0.377,655,0,1.098,0.657,0,1.252,0.837,0,1.252,0.837,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,34,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.319,0.051,0,0,0,0,0,23325669633
71803,140.34551,23325605946,1.252,0.837,139.785,0.377,655,0,1.098,0.657,0,1.252,0.837,0,1.252,0.837,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,34,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.319,0.051,0,0,0,0,0,23325716202
71804,140.38501,23325698273,1.268,0.847,140.311,0.074,656,1,1.098,0.657,0,1.285,0.857,1,1.285,0.857,1,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,1,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,14.796,2,0.319,0.051,0,0,0,0,0,23325727895
71805,140.38914,23325707932,1.268,0.847,140.311,0.078,656,1,1.098,0.657,0,1.285,0.857,0,1.285,0.857,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.319,0.051,0,0,0,0,0,23325728289
71806,140.39334,23325717756,1.268,0.847,140.311,0.082,656,1,1.098,0.657,0,1.285,0.857,0,1.285,0.857,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.317,0.052,0,0,0,0,0,23325774602
71807,140.40969,23325755967,1.268,0.847,140.311,0.098,656,1,1.098,0.657,0,1.285,0.857,0,1.285,0.857,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.314,0.052,0,0,0,0,0,23325809640
71808,140.42623,23325794614,1.285,0.857,140.311,0.098,656,0,1.098,0.657,0,1.285,0.857,0,1.285,0.857,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.307,0.053,0,0,0,0,0,23325844739
71809,140.44286,23325833504,1.285,0.857,140.311,0.098,656,0,1.098,0.657,0,1.285,0.857,0,1.285,0.857,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.301,0.056,0,0,0,0,0,23325892122
71810,140.45916,23325871592,1.285,0.857,140.311,0.098,656,0,1.098,0.657,0,1.285,0.857,0,1.285,0.857,0,1.#IO,1.#IO,32,1.077,0,1.#IO,1.#IO,37,0.975,0,-3.215,0.473,61.479,0,0,0,6.178,1.14,106.638,0,0,0,0.281,0.06,0,0,0,0,0,23325985097
71811,140.49584,23325957334,0.89,0.887,140.311,0.098,656,0,0.89,0.887,1,1.285,0.857,0,0.89,0.887,1,1.#IO,1.#IO,31,1.074,1,1.#IO,1.#IO,37,0.972,0,-3.558,0.51,64.018,1,7.442,1,6.178,1.14,106.638,0,0,0,0.272,0.063,0,0,0,0,0,23325996730
71812,140.50421,23325976881,0.89,0.887,140.311,0.098,656,0,0.89,0.887,0,1.285,0.857,0,0.89,0.887,0,1.#IO,1.#IO,31,1.074,0,1.#IO,1.#IO,37,0.972,0,-3.558,0.51,64.018,0,0,0,6.178,1.14,106.638,0,0,0,0.265,0.064,0,0,0,0,0,23326008469
71813,140.51369,23325999043,0.89,0.887,140.311,0.098,656,0,0.89,0.887,0,1.285,0.857,0,0.89,0.887,0,1.#IO,1.#IO,31,1.074,0,1.#IO,1.#IO,37,0.972,0,-3.558,0.51,64.018,0,0,0,6.178,1.14,106.638,0,0,0,0.26,0.067,0,0,0,0,0,23326043419
71814,140.52485,23326025128,0.528,0.827,140.311,0.098,656,0,0.509,0.809,1,0.547,0.844,1,0.528,0.827,1,1.#IO,1.#IO,25,1.081,1,1.#IO,1.#IO,27,1.063,1,-3.802,0.575,65.215,1,6.114,1,3.179,0.758,61.233,1,6.2,1,0.255,0.07,0,0,0,0,0,23326142716
71815,140.54136,23326063723,0.528,0.757,140.311,0.098,656,0,0.533,0.716,1,0.527,0.66,1,0.53,0.688,1,1.#IO,1.#IO,31,1.087,1,1.#IO,1.#IO,32,1.059,1,-3.802,0.575,65.215,1,7.581,1,3.179,0.758,61.233,1,7.348,1,0.242,0.077,0,0,0,0,0,23326219319
71816,140.59023,23326177960,0.539,0.701,140.311,0.098,656,0,0.553,0.547,1,0.565,0.629,1,0.56,0.588,1,1.#IO,1.#IO,33,1.09,1,1.#IO,1.#IO,36,1.056,1,-3.802,0.575,65.215,1,8.07,1,3.179,0.758,61.233,1,8.266,1,0.172,0.138,0,0,0,0,0,23326511467
71817,140.72189,23326485698,0.566,0.65,140.311,0.098,656,0,0.589,0.649,1,0.628,0.704,1,0.608,0.677,1,1.#IO,1.#IO,32,1.09,1,1.#IO,1.#IO,36,1.056,1,-3.802,0.575,65.215,1,7.826,1,3.179,0.758,61.233,1,8.266,1,0.167,0.139,0,0,0,0,0,23326522637
71818,140.73151,23326508168,0.536,0.516,140.311,0.098,656,0,0.506,0.381,1,0.628,0.704,0,0.506,0.381,1,1.#IO,1.#IO,35,1.094,1,1.#IO,1.#IO,36,0.989,0,-3.855,0.557,65.286,1,8.569,1,3.179,0.758,61.233,0,0,0,0.162,0.139,0,0,0,0,0,23326721295
71819,140.73934,23326526467,0.508,0.446,140.311,0.098,656,0,0.451,0.306,1,0.628,0.704,0,0.451,0.306,1,1.#IO,1.#IO,35,1.094,1,1.#IO,1.#IO,36,0.99,0,-3.855,0.557,65.286,1,8.569,1,3.179,0.758,61.233,0,0,0,0.151,0.139,0,0,0,0,0,23326721711
71820,140.78019,23326621966,0.467,0.339,140.311,0.098,656,0,0.446,0.332,1,0.628,0.704,0,0.446,0.332,1,1.#IO,1.#IO,34,1.094,1,1.#IO,1.#IO,36,0.99,0,-3.706,0.535,62.669,1,7.99,1,3.179,0.758,61.233,0,0,0,0.151,0.139,0,0,0,0,0,23326768096
71821,140.81092,23326693777,0.49,0.348,140.311,0.098,656,0,0.511,0.356,1,0.628,0.704,0,0.511,0.356,1,1.#IO,1.#IO,34,1.094,1,1.#IO,1.#IO,36,0.99,0,-3.706,0.535,62.669,1,7.99,1,3.179,0.758,61.233,0,0,0,0.117,0.128,0,0,0,0,0,23326853424
71822,140.87156,23326835529,0.501,0.424,140.311,0.098,656,0,0.546,0.586,1,0.502,0.57,1,0.524,0.578,1,1.#IO,1.#IO,33,1.098,1,1.#IO,1.#IO,35,1.053,1,-3.916,0.561,65.703,1,8.131,1,3.103,0.739,61.547,1,8.078,1,0.111,0.128,0,0,0,0,0,23326864968
71823,140.87599,23326845883,0.517,0.467,140.311,0.098,656,0,0.546,0.586,0,0.502,0.57,0,0.524,0.578,0,1.#IO,1.#IO,33,1.098,0,1.#IO,1.#IO,35,1.053,0,-3.916,0.561,65.703,0,0,0,3.103,0.739,61.547,0,0,0,0.111,0.128,0,0,0,0,0,23326978533
