CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LEYEV,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,REYEV,RPUPILD,RPUPILV,CX,CY,CS,SKLHEADX,SKLHEADY,SKLHEADZ,SKLV,VIEWER_TIME_TICK
71552,129.90117,23301193638,0.601,0.357,129.485,0.416,647,1,0.613,0.328,1,0.636,0.499,1,0.624,0.413,1,1.#IO,1.#IO,34,1.07,1,1.#IO,1.#IO,34,0.929,1,-3.643,0.542,62.793,1,8.006,1,3.361,0.651,63.694,1,8.121,1,0.315,0.544,0,0,0,0,0,23301350216
71553,129.9519,23301312213,0.602,0.359,129.485,0.467,647,1,0.601,0.338,1,0.624,0.503,1,0.613,0.42,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.929,1,-3.643,0.542,62.793,1,8.242,1,3.361,0.651,63.694,1,8.36,1,0.315,0.544,0,0,0,0,0,23301350636
71554,129.95778,23301325943,0.602,0.359,129.485,0.473,647,1,0.598,0.338,1,0.624,0.503,0,0.598,0.338,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.968,0,-3.643,0.542,62.793,1,8.242,1,3.361,0.651,63.694,0,0,0,0.315,0.544,0,0,0,0,0,23301354662
71555,129.96603,23301345229,0.602,0.358,129.485,0.481,647,1,0.597,0.342,1,0.624,0.503,0,0.597,0.342,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.968,0,-3.643,0.542,62.793,1,8.242,1,3.361,0.651,63.694,0,0,0,0.315,0.544,0,0,0,0,0,23301414369
71556,129.97753,23301372110,0.601,0.358,129.485,0.492,647,1,0.597,0.35,1,0.624,0.503,0,0.597,0.35,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.968,0,-3.643,0.542,62.793,1,8.242,1,3.361,0.651,63.694,0,0,0,0.315,0.544,0,0,0,0,0,23301649291
71557,130.00736,23301441849,0.602,0.36,129.485,0.522,647,1,0.604,0.354,1,0.626,0.511,1,0.615,0.432,1,1.#IO,1.#IO,34,1.07,1,1.#IO,1.#IO,35,0.926,1,-3.643,0.542,62.793,1,8.006,1,3.23,0.633,61.339,1,8.051,1,0.315,0.544,0,0,0,0,0,23301658597
71558,130.09292,23301641815,0.601,0.36,129.485,0.608,647,1,0.588,0.346,1,0.626,0.511,0,0.588,0.346,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.968,0,-3.643,0.542,62.793,1,8.242,1,3.23,0.633,61.339,0,0,0,0.315,0.544,0,0,0,0,0,23301670296
71559,130.09756,23301652662,0.601,0.36,129.485,0.612,647,1,0.592,0.374,1,0.626,0.511,0,0.592,0.374,1,1.#IO,1.#IO,34,1.067,1,1.#IO,1.#IO,35,0.965,0,-3.643,0.542,62.793,1,8.006,1,3.23,0.633,61.339,0,0,0,0.315,0.544,0,0,0,0,0,23301693598
71560,130.10901,23301679436,0.601,0.361,129.485,0.624,647,1,0.596,0.389,1,0.576,0.4,1,0.586,0.394,1,1.#IO,1.#IO,34,1.064,1,1.#IO,1.#IO,35,0.926,1,-3.646,0.54,62.656,1,7.989,1,3.313,0.638,63.022,1,8.272,1,0.315,0.544,0,0,0,0,0,23301810485
71561,130.15285,23301781905,0.599,0.359,129.485,0.668,647,1,0.563,0.297,1,0.576,0.4,0,0.563,0.297,1,1.#IO,1.#IO,34,1.061,1,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,1,7.989,1,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23301810885
